x y z alpha beta gamma
-0.059433 0.887141 0.670226 1.631000 0.002532 -0.054275
-0.059436 0.887141 0.670205 1.630977 0.002529 -0.054271
-0.059439 0.887141 0.670185 1.630954 0.002528 -0.054267
-0.059443 0.887141 0.670164 1.630931 0.002525 -0.054264
-0.059446 0.887141 0.670143 1.630908 0.002522 -0.054260
-0.059449 0.887141 0.670122 1.630885 0.002520 -0.054257
-0.059452 0.887140 0.670102 1.630862 0.002517 -0.054253
-0.059456 0.887140 0.670081 1.630839 0.002515 -0.054249
-0.059459 0.887140 0.670060 1.630816 0.002513 -0.054246
-0.059462 0.887140 0.670040 1.630793 0.002510 -0.054242
-0.059465 0.887140 0.670019 1.630770 0.002508 -0.054239
-0.059468 0.887140 0.669998 1.630747 0.002505 -0.054235
-0.059472 0.887140 0.669977 1.630723 0.002503 -0.054232
-0.059475 0.887139 0.669957 1.630701 0.002500 -0.054228
-0.059478 0.887139 0.669936 1.630678 0.002498 -0.054224
-0.059481 0.887139 0.669915 1.630654 0.002495 -0.054221
-0.059485 0.887139 0.669895 1.630632 0.002492 -0.054217
-0.059488 0.887139 0.669874 1.630608 0.002490 -0.054214
-0.059491 0.887139 0.669853 1.630585 0.002488 -0.054210
-0.059495 0.887139 0.669832 1.630562 0.002485 -0.054206
-0.059524 0.887146 0.669751 1.630530 0.002779 -0.054176
-0.110241 0.878802 0.613307 1.556825 -0.000327 0.012112
-0.110320 0.878822 0.613285 1.556806 -0.000284 0.012186
-0.110395 0.878842 0.613265 1.556786 -0.000261 0.012263
-0.110458 0.878859 0.613239 1.556760 -0.000249 0.012331
-0.110496 0.878867 0.613214 1.556733 -0.000241 0.012372
-0.110516 0.878869 0.613190 1.556707 -0.000240 0.012394
-0.110529 0.878869 0.613166 1.556680 -0.000243 0.012407
-0.110538 0.878869 0.613141 1.556651 -0.000243 0.012418
-0.110547 0.878868 0.613115 1.556622 -0.000245 0.012427
-0.110560 0.878865 0.613062 1.556562 -0.000246 0.012442
-0.110565 0.878863 0.613035 1.556532 -0.000247 0.012448
-0.110570 0.878861 0.613008 1.556502 -0.000248 0.012454
-0.110575 0.878860 0.612981 1.556471 -0.000249 0.012459
-0.110579 0.878857 0.612954 1.556441 -0.000250 0.012464
-0.110584 0.878855 0.612927 1.556411 -0.000251 0.012469
-0.110588 0.878853 0.612900 1.556381 -0.000253 0.012475
-0.110592 0.878851 0.612874 1.556351 -0.000254 0.012479
-0.110597 0.878849 0.612846 1.556320 -0.000255 0.012484
-0.110601 0.878847 0.612820 1.556290 -0.000256 0.012489
-0.110605 0.878845 0.612792 1.556259 -0.000258 0.012494
-0.110609 0.878843 0.612765 1.556229 -0.000259 0.012499
-0.110613 0.878841 0.612738 1.556198 -0.000260 0.012504
-0.110618 0.878839 0.612712 1.556168 -0.000262 0.012509
-0.110622 0.878837 0.612685 1.556138 -0.000262 0.012514
-0.135987 0.879647 0.679463 1.642508 0.008911 0.045654
-0.109860 0.879315 0.608572 1.550207 0.000010 0.011221
-0.119576 0.878772 0.627335 1.574894 0.001425 0.024352
-0.132340 0.878789 0.640409 1.591906 0.004395 0.040523
-0.032979 0.888165 0.635297 1.586242 -0.005265 -0.088771
-0.094283 0.883963 0.654347 1.610390 0.002752 -0.009080
-0.113239 0.878741 0.610217 1.552678 -0.001504 0.015954
-0.131353 0.874725 0.598394 1.536663 0.002814 0.039674
-0.099110 0.883784 0.651329 1.605734 0.004086 -0.003203
-0.089693 0.879400 0.598493 1.537080 -0.002713 -0.014507
-0.119091 0.876289 0.609641 1.551491 -0.000980 0.024012
-0.091208 0.881882 0.601719 1.541169 -0.002428 -0.013184
-0.136750 0.874250 0.638591 1.588969 0.004430 0.047371
-0.078178 0.885052 0.626612 1.573721 -0.001961 -0.030263
-0.078287 0.885084 0.626419 1.573599 -0.001415 -0.030196
-0.078248 0.885046 0.626370 1.573569 -0.001218 -0.030279
-0.078178 0.885010 0.626325 1.573525 -0.001142 -0.030383
-0.078134 0.884984 0.626305 1.573505 -0.001106 -0.030443
-0.078153 0.884988 0.626270 1.573468 -0.001091 -0.030429
-0.078177 0.884992 0.626246 1.573442 -0.001079 -0.030404
-0.078200 0.884996 0.626223 1.573416 -0.001078 -0.030380
-0.078222 0.885001 0.626198 1.573388 -0.001079 -0.030357
-0.078244 0.885005 0.626171 1.573358 -0.001081 -0.030332
-0.078267 0.885009 0.626143 1.573328 -0.001083 -0.030307
-0.078289 0.885014 0.626116 1.573298 -0.001083 -0.030281
-0.078311 0.885018 0.626089 1.573268 -0.001085 -0.030257
-0.078330 0.885020 0.626062 1.573239 -0.001088 -0.030235
-0.078345 0.885022 0.626035 1.573208 -0.001089 -0.030218
-0.078359 0.885023 0.626009 1.573178 -0.001091 -0.030203
-0.025914 0.885938 0.604401 1.545654 -0.009793 -0.098162
-0.116129 0.877531 0.667472 1.627629 0.003425 0.020491
-0.078282 0.882447 0.673752 1.635151 0.006885 -0.029641
-0.114333 0.880549 0.662991 1.621134 0.006221 0.017525
-0.100816 0.878934 0.608248 1.549345 -0.001628 -0.000078
-0.127281 0.876964 0.605898 1.546052 0.000161 0.034930
-0.136542 0.876359 0.631403 1.579723 0.001954 0.047434
-0.063829 0.882258 0.634817 1.584539 0.000650 -0.048460
-0.074411 0.878101 0.592602 1.528732 -0.003779 -0.034285
-0.086067 0.881005 0.657089 1.613464 0.005560 -0.019337
-0.076180 0.880751 0.591047 1.527040 -0.003557 -0.031983
-0.042221 0.882552 0.640775 1.592220 0.000821 -0.076903
-0.088694 0.881390 0.660373 1.618214 0.002783 -0.015845
-0.091884 0.880918 0.607193 1.548210 -0.001037 -0.011484
-0.064420 0.881968 0.635020 1.584847 -0.000238 -0.047811
-0.052550 0.881284 0.599172 1.538064 -0.005903 -0.062960
-0.059402 0.880161 0.623290 1.569158 0.001121 -0.053864
-0.136835 0.879351 0.658942 1.615807 0.002947 0.047398
-0.123290 0.878320 0.572710 1.503354 -0.004008 0.030012
-0.138718 0.876417 0.661732 1.619467 0.004220 0.050312
-0.102214 0.882743 0.625601 1.572334 0.001797 0.001652
-0.103040 0.882185 0.625965 1.572412 0.006273 0.002885
-0.067736 0.881889 0.620315 1.565618 0.000178 -0.042885
-0.069472 0.880495 0.634292 1.583455 0.000901 -0.040584
-0.114400 0.881156 0.677714 1.639847 0.007960 0.018311
-0.108456 0.880227 0.628438 1.575703 0.001960 0.010298
-0.076044 0.878044 0.598928 1.537146 -0.000447 -0.032278
-0.121441 0.883287 0.657008 1.613102 0.007042 0.027148
-0.079887 0.880759 0.603379 1.543594 -0.003616 -0.026495
-0.080808 0.881080 0.673150 1.634254 0.001126 -0.025570
-0.113054 0.881544 0.599942 1.539357 -0.000860 0.016551
-0.086184 0.880372 0.609709 1.551966 0.001343 -0.018395
-0.087127 0.880309 0.610394 1.552538 -0.002066 -0.017424
-0.167222 0.878837 0.615733 1.559753 0.004002 0.086805
-0.082369 0.878237 0.607713 1.549194 -0.001068 -0.023259
-0.082502 0.878249 0.607726 1.549175 -0.001169 -0.023184
-0.082614 0.878268 0.607716 1.549155 -0.001191 -0.023089
-0.082688 0.878282 0.607689 1.549122 -0.001201 -0.023020
-0.082723 0.878285 0.607660 1.549088 -0.001205 -0.022989
-0.082743 0.878286 0.607628 1.549053 -0.001209 -0.022968
-0.082760 0.878286 0.607596 1.549016 -0.001212 -0.022952
-0.082775 0.878286 0.607563 1.548979 -0.001217 -0.022935
-0.082789 0.878287 0.607529 1.548941 -0.001221 -0.022919
-0.082803 0.878287 0.607496 1.548903 -0.001224 -0.022904
-0.082817 0.878287 0.607462 1.548866 -0.001228 -0.022888
-0.082831 0.878287 0.607429 1.548828 -0.001231 -0.022872
-0.082845 0.878287 0.607396 1.548791 -0.001235 -0.022856
-0.082859 0.878288 0.607363 1.548753 -0.001239 -0.022840
-0.082873 0.878288 0.607329 1.548716 -0.001243 -0.022824
-0.082887 0.878288 0.607296 1.548678 -0.001247 -0.022809
-0.082901 0.878288 0.607262 1.548641 -0.001251 -0.022793
-0.133267 0.883470 0.641644 1.593349 0.000102 0.042545
-0.104865 0.879932 0.603593 1.544069 -0.001902 0.006003
-0.095726 0.876815 0.593872 1.530868 -0.003022 -0.005841
-0.069811 0.882211 0.631195 1.579656 -0.002806 -0.039806
-0.075302 0.881871 0.635435 1.584858 0.000613 -0.032749
-0.101063 0.879913 0.622944 1.569079 -0.000356 0.000365
-0.101247 0.878879 0.584771 1.519618 -0.001479 0.000775
-0.097757 0.879729 0.614929 1.558446 -0.000155 -0.003722
-0.096963 0.878769 0.609965 1.552019 -0.003864 -0.004684
-0.108578 0.881468 0.597986 1.536552 -0.000681 0.010380
-0.133385 0.877938 0.632830 1.581563 0.003113 0.042828
-0.057917 0.881734 0.602658 1.542179 -0.003135 -0.056009
-0.108666 0.881590 0.632407 1.580696 0.002210 0.009870
-0.094833 0.880527 0.659536 1.616159 0.004683 -0.007711
-0.106597 0.879663 0.583862 1.517939 -0.002398 0.007705
-0.096267 0.880672 0.658615 1.615355 0.005350 -0.006214
-0.089722 0.882558 0.626961 1.574051 -0.001748 -0.014886
-0.065791 0.882689 0.603687 1.543998 -0.003496 -0.045527
-0.059939 0.882594 0.645273 1.598178 0.001187 -0.053366
-0.091621 0.884022 0.630329 1.578554 -0.000264 -0.012431
-0.095863 0.881571 0.644633 1.597038 0.003374 -0.006703
-0.059374 0.884478 0.650269 1.604888 -0.000244 -0.054014
-0.142030 0.876802 0.639952 1.591156 0.000410 0.054006
-0.058840 0.881870 0.590291 1.527419 -0.011693 -0.053807
-0.081320 0.883930 0.614738 1.558773 -0.005089 -0.025215
-0.101365 0.884393 0.654978 1.611211 0.002193 0.000220
-0.140744 0.878290 0.639983 1.591105 0.003450 0.051805
-0.068560 0.882502 0.667164 1.626830 0.001922 -0.042059
-0.097289 0.881213 0.646911 1.599838 0.003095 -0.004618
-0.105894 0.883655 0.666310 1.625618 0.006260 0.006469
-0.097820 0.883284 0.652994 1.608648 0.000854 -0.003784
-0.098479 0.879318 0.624707 1.571546 0.001049 -0.003127
-0.075071 0.881095 0.616369 1.561130 -0.006702 -0.032762
-0.152657 0.870466 0.578341 1.510582 0.008170 0.066829
-0.101413 0.876758 0.590112 1.526962 -0.003566 0.001359
-0.064291 0.887648 0.675709 1.638047 0.000222 -0.047293
-0.109615 0.880181 0.628214 1.576120 0.004390 0.010804
-0.104725 0.875957 0.591179 1.528243 -0.002465 0.005517
-0.113133 0.878611 0.621087 1.567093 -0.002115 0.016572
-0.066314 0.872761 0.572585 1.504394 -0.012206 -0.042766
-0.106251 0.873668 0.591239 1.527692 -0.002152 0.007868
-0.127497 0.879891 0.626494 1.573981 0.003761 0.034224
-0.112934 0.882330 0.635126 1.585861 0.002762 0.015210
-0.112458 0.882094 0.635669 1.586295 0.001919 0.014878
-0.112331 0.882003 0.635910 1.586419 0.001365 0.014737
-0.112538 0.882105 0.635798 1.586251 0.001178 0.014975
-0.112600 0.882131 0.635754 1.586206 0.001154 0.015082
-0.112572 0.882112 0.635753 1.586184 0.001070 0.015059
-0.112514 0.882095 0.635719 1.586130 0.000998 0.015002
-0.112459 0.882077 0.635687 1.586084 0.000946 0.014952
-0.112457 0.882074 0.635664 1.586047 0.000890 0.014961
-0.112472 0.882082 0.635620 1.585989 0.000841 0.014990
-0.112495 0.882090 0.635587 1.585943 0.000792 0.015028
-0.112518 0.882097 0.635554 1.585896 0.000740 0.015065
-0.112538 0.882104 0.635517 1.585845 0.000689 0.015099
-0.112547 0.882108 0.635479 1.585793 0.000640 0.015122
-0.112546 0.882108 0.635442 1.585742 0.000588 0.015133
-0.112540 0.882106 0.635406 1.585692 0.000537 0.015138
-0.112533 0.882104 0.635369 1.585640 0.000484 0.015142
-0.112524 0.882101 0.635332 1.585589 0.000432 0.015144
-0.112515 0.882098 0.635295 1.585537 0.000381 0.015146
-0.112506 0.882095 0.635258 1.585486 0.000329 0.015147
-0.112496 0.882093 0.635221 1.585435 0.000277 0.015149
-0.112487 0.882090 0.635184 1.585383 0.000224 0.015150
-0.112477 0.882087 0.635147 1.585332 0.000173 0.015151
-0.112467 0.882084 0.635110 1.585281 0.000121 0.015153
-0.112458 0.882081 0.635074 1.585230 0.000069 0.015154
-0.112448 0.882078 0.635037 1.585179 0.000018 0.015155
-0.112438 0.882075 0.635000 1.585128 -0.000034 0.015156
-0.112428 0.882072 0.634964 1.585077 -0.000086 0.015157
-0.112418 0.882069 0.634926 1.585025 -0.000138 0.015158
-0.080881 0.886207 0.636601 1.588141 -0.003570 -0.025479
-0.054247 0.883632 0.639664 1.591685 -0.003946 -0.059824
-0.086630 0.880111 0.629596 1.578430 -0.002971 -0.017683
-0.109973 0.874569 0.589294 1.525298 -0.000883 0.012202
-0.087528 0.878446 0.624361 1.571232 -0.002666 -0.016510
-0.141221 0.885655 0.685882 1.650951 0.008966 0.052127
-0.118339 0.884012 0.637997 1.589354 0.008431 0.022072
-0.089861 0.881722 0.616769 1.562240 -0.001275 -0.013687
-0.086946 0.881664 0.613194 1.557501 -0.001522 -0.017466
-0.105143 0.886663 0.660311 1.618170 0.004393 0.005462
-0.090964 0.885078 0.646109 1.600196 0.001125 -0.012332
-0.085519 0.887997 0.663046 1.622265 -0.000121 -0.019027
-0.073175 0.871107 0.587506 1.522949 -0.006933 -0.034664
-0.070261 0.874032 0.595847 1.534133 -0.005002 -0.038561
-0.095559 0.877218 0.610044 1.552539 0.002184 -0.006666
-0.094357 0.884193 0.646069 1.599899 -0.000351 -0.007510
-0.124083 0.878803 0.621608 1.567837 0.005530 0.029979
-0.124052 0.878788 0.621599 1.567804 0.005447 0.029951
-0.124003 0.878775 0.621572 1.567757 0.005388 0.029909
-0.123957 0.878761 0.621546 1.567715 0.005336 0.029873
-0.123938 0.878755 0.621524 1.567677 0.005281 0.029867
-0.123932 0.878757 0.621490 1.567625 0.005230 0.029876
-0.123932 0.878759 0.621462 1.567582 0.005180 0.029892
-0.123932 0.878761 0.621434 1.567537 0.005128 0.029908
-0.123932 0.878762 0.621406 1.567493 0.005077 0.029923
-0.123933 0.878764 0.621378 1.567448 0.005025 0.029940
-0.123933 0.878765 0.621351 1.567405 0.004973 0.029956
-0.123934 0.878767 0.621324 1.567361 0.004921 0.029973
