x y z alpha beta gamma
-0.192092 0.894985 0.626604 1.573400 -0.018350 0.130650
-0.192075 0.894990 0.626577 1.573399 -0.018271 0.130656
-0.192057 0.894995 0.626550 1.573398 -0.018193 0.130662
-0.180991 0.891073 0.618459 1.562776 -0.018268 0.116665
-0.191870 0.893898 0.619510 1.564916 -0.016294 0.129955
-0.191853 0.893903 0.619483 1.564914 -0.016215 0.129961
-0.207197 0.903039 0.632210 1.579892 -0.020780 0.149822
-0.192851 0.894919 0.626353 1.573330 -0.017791 0.130778
-0.192833 0.894923 0.626326 1.573328 -0.017712 0.130783
-0.192815 0.894928 0.626299 1.573327 -0.017633 0.130789
-0.192797 0.894932 0.626273 1.573326 -0.017555 0.130795
-0.207106 0.903062 0.632082 1.579894 -0.020386 0.149850
-0.207088 0.903066 0.632056 1.579894 -0.020307 0.149856
-0.207070 0.903071 0.632030 1.579894 -0.020228 0.149861
-0.207052 0.903075 0.632004 1.579895 -0.020149 0.149867
-0.207033 0.903080 0.631978 1.579895 -0.020069 0.149873
-0.207015 0.903084 0.631953 1.579895 -0.019990 0.149878
-0.206997 0.903089 0.631927 1.579896 -0.019911 0.149884
-0.206979 0.903094 0.631901 1.579896 -0.019832 0.149890
-0.206961 0.903098 0.631875 1.579896 -0.019753 0.149896
-0.200217 0.899234 0.634087 1.582635 -0.020506 0.140807
-0.185722 0.893620 0.626485 1.573147 -0.018559 0.122105
-0.201326 0.901661 0.633717 1.581401 -0.022181 0.142620
-0.195943 0.897148 0.625361 1.571991 -0.018091 0.134915
-0.204698 0.902092 0.632997 1.580950 -0.020719 0.146660
-0.193058 0.897767 0.620855 1.566249 -0.019059 0.132290
-0.220530 0.905039 0.620112 1.566949 -0.013212 0.166456
-0.194074 0.897527 0.620338 1.565877 -0.016631 0.133230
-0.201489 0.897402 0.611637 1.555104 -0.015334 0.142464
-0.193441 0.898492 0.629465 1.577721 -0.017449 0.132268
-0.206964 0.901221 0.632084 1.581745 -0.015582 0.148920
-0.194539 0.897718 0.619057 1.565079 -0.014831 0.133368
-0.194557 0.897743 0.618991 1.565065 -0.014671 0.133436
-0.194527 0.897744 0.618966 1.565075 -0.014567 0.133436
-0.194475 0.897743 0.618932 1.565068 -0.014481 0.133406
-0.194431 0.897743 0.618901 1.565067 -0.014389 0.133387
-0.194386 0.897743 0.618870 1.565065 -0.014297 0.133366
-0.194342 0.897743 0.618838 1.565064 -0.014204 0.133347
-0.201440 0.897199 0.611126 1.555071 -0.013833 0.141997
-0.207254 0.901434 0.631226 1.579508 -0.018231 0.149733
-0.200616 0.900628 0.639562 1.589283 -0.021913 0.140971
-0.195952 0.900885 0.618828 1.564521 -0.015915 0.135818
-0.202573 0.898614 0.627875 1.574477 -0.020338 0.143253
-0.190877 0.895408 0.623711 1.570054 -0.016721 0.128398
-0.210816 0.903034 0.635301 1.584585 -0.019338 0.153651
-0.198034 0.899967 0.618471 1.563573 -0.017107 0.138192
-0.197646 0.899929 0.618323 1.563544 -0.016734 0.137885
-0.205253 0.899139 0.611117 1.554364 -0.015914 0.147409
-0.205286 0.899192 0.610953 1.554097 -0.016115 0.147378
-0.205525 0.899312 0.610748 1.553801 -0.016276 0.147569
-0.197704 0.899993 0.618161 1.563414 -0.016589 0.137985
-0.197613 0.899967 0.618183 1.563409 -0.016665 0.137863
-0.197512 0.899944 0.618186 1.563397 -0.016708 0.137739
-0.216206 0.905057 0.635431 1.585256 -0.018882 0.160639
-0.200531 0.899788 0.623028 1.570199 -0.014470 0.140822
-0.196344 0.898412 0.638076 1.587778 -0.019555 0.135272
-0.195149 0.898741 0.637753 1.587706 -0.020117 0.134013
-0.194535 0.899184 0.638198 1.587595 -0.020764 0.133328
-0.197339 0.901419 0.623897 1.570994 -0.016278 0.137542
-0.201731 0.899465 0.620842 1.565633 -0.019495 0.143082
