x y z alpha beta gamma
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.200000 0.893000 0.625000 1.570800 -0.017454 0.139627
-0.025000 0.900300 0.675000 1.570796 -0.000000 0.000000
-0.025000 0.900300 0.675000 1.570796 -0.000000 0.000000
-0.025000 0.900300 0.675000 1.570796 -0.000000 0.000000
-0.025000 0.900300 0.675000 1.570796 -0.000000 0.000000
-0.025000 0.900300 0.675000 1.570796 -0.000000 0.000000
-0.025000 0.900300 0.675000 1.570796 -0.000000 0.000000
-0.025000 0.900300 0.675000 1.570796 -0.000000 0.000000
-0.025000 0.900300 0.675000 1.570796 -0.000000 0.000000
-0.025000 0.900300 0.675000 1.570796 -0.000000 0.000000
-0.025000 0.900300 0.675000 1.570796 -0.000000 0.000000
-0.025000 0.900300 0.675000 1.570796 -0.000000 0.000000
-0.025000 0.900300 0.675000 1.570796 -0.000000 0.000000
-0.025000 0.900300 0.675000 1.570796 -0.000000 0.000000
-0.025000 0.900300 0.675000 1.570796 -0.000000 0.000000
-0.025000 0.900300 0.675000 1.570796 -0.000000 0.000000
-0.025000 0.900300 0.675000 1.570796 -0.000000 0.000000
-0.025000 0.900300 0.675000 1.570796 -0.000000 0.000000
-0.025000 0.900300 0.675000 1.570796 -0.000000 0.000000
-0.025000 0.900300 0.675000 1.570796 -0.000000 0.000000
-0.025000 0.900300 0.675000 1.570796 -0.000000 0.000000
-0.025000 0.900300 0.675000 1.570796 -0.000000 0.000000
-0.025000 0.900300 0.675000 1.570796 -0.000000 0.000000
-0.025000 0.900300 0.675000 1.570796 -0.000000 0.000000
-0.025000 0.900300 0.675000 1.570796 -0.000000 0.000000
-0.025000 0.900300 0.675000 1.570796 -0.000000 0.000000
