x y z alpha beta gamma
-0.196899 0.894543 0.608929 1.551880 -0.019125 0.135414
-0.196869 0.894543 0.608907 1.551840 -0.019197 0.135413
-0.196839 0.894543 0.608885 1.551799 -0.019269 0.135412
-0.196808 0.894543 0.608864 1.551759 -0.019340 0.135410
-0.229482 0.892298 0.621830 1.568282 -0.011717 0.174847
-0.229453 0.892298 0.621806 1.568239 -0.011788 0.174846
-0.229423 0.892298 0.621782 1.568196 -0.011858 0.174844
-0.229394 0.892298 0.621758 1.568154 -0.011927 0.174843
-0.229365 0.892298 0.621734 1.568111 -0.011998 0.174842
-0.229336 0.892299 0.621711 1.568068 -0.012068 0.174841
-0.229307 0.892299 0.621687 1.568025 -0.012138 0.174839
-0.229277 0.892299 0.621664 1.567983 -0.012209 0.174838
-0.229248 0.892299 0.621640 1.567940 -0.012279 0.174837
-0.229219 0.892300 0.621616 1.567897 -0.012349 0.174836
-0.229189 0.892300 0.621592 1.567854 -0.012420 0.174835
-0.229160 0.892300 0.621568 1.567812 -0.012490 0.174833
-0.229131 0.892300 0.621545 1.567769 -0.012560 0.174832
-0.229101 0.892301 0.621521 1.567727 -0.012631 0.174831
-0.229072 0.892301 0.621498 1.567684 -0.012701 0.174830
-0.229043 0.892301 0.621474 1.567642 -0.012772 0.174829
-0.230177 0.891355 0.614240 1.558827 -0.010727 0.176260
-0.188363 0.902809 0.627399 1.575839 -0.017390 0.122839
-0.211035 0.889570 0.602182 1.542749 -0.012472 0.153311
-0.213569 0.893024 0.607412 1.549898 -0.013625 0.155897
-0.184953 0.907447 0.666592 1.624686 -0.018739 0.116622
-0.223548 0.894490 0.618220 1.563806 -0.012826 0.167127
-0.164372 0.909874 0.632616 1.582298 -0.022112 0.091991
-0.206251 0.896107 0.611832 1.555546 -0.016555 0.146107
-0.214749 0.899589 0.667775 1.625577 -0.016852 0.154671
-0.190300 0.898887 0.610249 1.553391 -0.019518 0.126009
-0.189878 0.898787 0.610252 1.553385 -0.019590 0.125591
-0.189861 0.898808 0.610156 1.553268 -0.019664 0.125604
-0.206818 0.896069 0.610545 1.553577 -0.015184 0.146425
-0.206780 0.896065 0.610515 1.553537 -0.015251 0.146424
-0.206732 0.896062 0.610479 1.553484 -0.015335 0.146404
-0.206683 0.896058 0.610446 1.553437 -0.015413 0.146386
-0.206634 0.896055 0.610414 1.553392 -0.015491 0.146368
-0.206585 0.896051 0.610385 1.553348 -0.015569 0.146350
-0.206536 0.896048 0.610355 1.553305 -0.015646 0.146331
-0.206862 0.898546 0.625704 1.572466 -0.013045 0.145547
-0.212524 0.897145 0.633242 1.581626 -0.011688 0.152849
-0.205658 0.899126 0.636416 1.585948 -0.018679 0.144248
-0.200502 0.896352 0.601737 1.542614 -0.018159 0.139250
-0.185409 0.904765 0.633720 1.583002 -0.021360 0.118006
-0.199663 0.897318 0.660349 1.615801 -0.015697 0.136787
-0.203757 0.897155 0.624296 1.570750 -0.019340 0.142423
